devicemodel,resolution,tag
xiaomi__xiaomi__mi 6,1080x1920,1
xiaomi__xiaomi__mi 6,1920x1080,1
apple-6s,640x1136,1
apple-6s,1136x640,1
apple-6s,750x1334,1
apple-6s,1334x750,1
apple-6splus,1920x1080,1
apple-6splus,1080x1920,1
apple-6splus,1125x2001,1
apple-6splus,2001x1125,1
apple-6splus,1242x2208,1
apple-6splus,2208x1242,1
apple-iphone7,640x1136,1
apple-iphone7,1136x640,1
apple-iphone7,750x1334,1
apple-iphone7,1334x750,1
apple-iphone8,640x1136,1
apple-iphone8,1136x640,1
apple-iphone8,750x1334,1
apple-iphone8,1334x750,1
apple-iphone8plus,1920x1080,1
apple-iphone8plus,1080x1920,1
apple-iphone8plus,1125x2001,1
apple-iphone8plus,2001x1125,1
apple-iphone8plus,1242x2208,1
apple-iphone8plus,2208x1242,1
apple-iphonese,640x1136,1
apple-iphonese,1136x640,1
apple-iphonese2,640x1136,1
apple-iphonese2,1136x640,1
apple-iphonese2,750x1334,1
apple-iphonese2,1334x750,1
apple-iphonexr,1792x828,1
apple-iphonexr,828x1792,1
apple-iphonexr,750x1624,1
apple-iphonexr,1624x750,1
apple-iphonexs-max,1125x2436,1
apple-iphonexs-max,2436x1125,1
apple-iphonexs-max,1242x2688,1
apple-iphonexs-max,2688x1242,1
apple-iphone11,1792x828,1
apple-iphone11,828x1792,1
apple-iphone11,1624x750,1
apple-iphone11,750x1624,1
apple-iphone11pro-max,1125x2436,1
apple-iphone11pro-max,2436x1125,1
apple-iphone11pro-max,1242x2688,1
apple-iphone11pro-max,2688x1242,1
apple-iphone12mini,960x2079,1
apple-iphone12mini,2079x960,1
apple-iphone12mini,1125x2436,1
apple-iphone12mini,2436x1125,1
oppo__oppo __oppo r11,1920x1080,1
oppo__oppo __oppo r11,1080x1920,1
zuk__zuk__zuk z2151,1920x1080,1
zuk__zuk__zuk z2151,1080x1920,1
