record,pclass,survived,sex,age,sibsp,parch,fare,embarked
1,Upper,No,male,61,0,0,32.3208,S
2,Lower,No,male,42,0,0,7.65,S
4,Lower,No,female,39,1,5,31.275,S
7,Upper,Yes,female,49,0,0,25.9292,S
8,Middle,No,male,29,0,0,10.5,S
9,Upper,Yes,male,37,1,1,52.5542,S
10,Middle,Yes,female,20,0,0,36.75,S
11,Upper,No,male,54,0,1,77.2875,S
13,Lower,No,male,2,4,1,39.6875,S
14,Lower,No,male,22.5,0,0,7.225,C
15,Lower,No,male,22,0,0,7.5208,S
17,Middle,No,male,60,1,1,39,S
18,Lower,Yes,female,26,1,1,22.025,S
19,Lower,Yes,female,15,0,0,8.0292,Q
22,Upper,No,male,27,0,2,211.5,C
24,Lower,No,female,31,0,0,7.8542,S
25,Upper,Yes,female,60,1,4,263,S
27,Upper,Yes,female,19,1,0,91.0792,C
28,Lower,No,male,70.5,0,0,7.75,Q
29,Lower,No,female,18,1,0,17.8,S
30,Lower,Yes,female,1,1,1,16.7,S
31,Lower,No,male,14,5,2,46.9,S
32,Lower,Yes,female,16,1,1,8.5167,C
35,Upper,Yes,female,23,1,0,82.2667,S
36,Lower,Yes,male,20,0,0,7.925,S
37,Middle,Yes,male,2,1,1,26,S
39,Middle,Yes,male,8,0,2,32.5,S
41,Upper,Yes,male,24,1,0,82.2667,S
42,Lower,No,male,37,2,0,7.925,S
43,Upper,Yes,female,22,0,1,59.4,C
44,Middle,No,male,59,0,0,13.5,S
45,Upper,No,male,28,0,0,47.1,S
46,Middle,No,female,29,1,0,26,S
47,Upper,No,male,24,0,0,79.2,C
48,Lower,No,male,13,0,2,20.25,S
49,Lower,Yes,male,21,0,0,7.775,S
50,Upper,Yes,male,60,1,1,79.2,C
51,Middle,No,male,28,0,0,13.5,S
52,Upper,Yes,female,24,0,0,69.3,C
53,Lower,No,female,22,0,0,39.6875,S
54,Lower,No,female,39,0,5,29.125,Q
55,Lower,No,male,22,0,0,8.05,S
56,Lower,No,male,25,0,0,7.65,S
57,Lower,No,female,38,4,2,7.775,S
58,Lower,No,male,31,3,0,18,S
59,Middle,No,male,33,0,0,12.275,S
61,Lower,No,male,38,0,0,7.8958,S
63,Lower,No,male,36,0,0,7.8958,S
64,Upper,Yes,female,24,0,0,49.5042,C
67,Upper,Yes,female,33,0,0,86.5,S
69,Lower,No,female,36,0,2,12.1833,S
70,Lower,No,male,40,0,0,7.225,C
72,Lower,No,male,34,0,0,8.05,S
73,Middle,No,male,26,0,0,13,S
74,Upper,Yes,female,52,1,1,93.5,S
76,Middle,No,female,18,1,1,13,S
77,Middle,No,male,23,0,0,10.5,S
78,Middle,Yes,male,30,0,0,12.7375,C
79,Middle,No,male,36,0,0,13,S
80,Lower,No,male,29,0,0,8.05,S
82,Middle,Yes,male,24,0,0,10.5,S
83,Upper,Yes,male,42,0,0,26.2875,S
84,Middle,Yes,male,20,0,0,13.8625,C
86,Upper,Yes,male,28,0,0,35.5,S
88,Lower,No,male,30,0,0,7.8958,S
89,Middle,No,male,26,0,0,13,S
91,Upper,No,male,23,0,0,93.5,S
92,Middle,No,male,40,0,0,13,S
93,Lower,No,female,2,4,2,31.275,S
94,Middle,Yes,female,24,1,2,65,S
95,Lower,No,male,51,0,0,7.75,S
96,Middle,Yes,female,22,1,1,29,S
97,Upper,No,male,47,1,0,227.525,C
98,Upper,Yes,male,35,0,0,26.2875,S
100,Lower,No,male,45,0,0,6.975,S
102,Lower,No,female,45,1,4,27.9,S
103,Lower,No,male,21,0,0,7.8958,S
104,Middle,Yes,female,28,1,0,26,S
105,Middle,Yes,female,34,0,0,10.5,S
106,Middle,No,male,42,1,0,27,S
108,Lower,Yes,male,21,0,0,7.8208,Q
109,Lower,No,male,40,0,0,7.8958,S
112,Upper,No,male,49,0,0,26,S
114,Middle,Yes,female,45,1,1,26.25,S
115,Lower,Yes,male,27,0,0,6.975,S
116,Lower,Yes,female,18,0,0,8.05,S
118,Lower,Yes,female,22,0,0,7.75,S
119,Middle,Yes,female,27,1,0,13.8583,C
120,Lower,No,female,45,0,1,14.4542,C
121,Middle,No,male,22,2,0,31.5,S
122,Middle,Yes,female,28,0,0,12.65,S
123,Middle,No,male,51,0,0,12.525,S
124,Lower,No,male,26,0,0,7.8958,S
125,Middle,Yes,female,6,0,1,33,S
126,Lower,Yes,male,45,0,0,8.05,S
127,Middle,No,male,47,0,0,10.5,S
128,Upper,Yes,female,26,0,0,78.85,S
129,Lower,No,female,25,1,0,7.925,S
130,Lower,No,male,38.5,0,0,7.25,S
131,Middle,Yes,female,19,0,0,13,S
132,Lower,No,male,16,4,1,39.6875,S
134,Lower,No,male,41,0,0,7.125,S
