uid,pclass,survived,sex,age,sibsp,parch,fare,embarked,pclass,survived,sex,age,sibsp,parch,fare
1,Upper,No,male,61,0,0,32.3208,S,Upper,No,male,61,0,0,32.3208
2,Lower,No,male,42,0,0,7.65,S,Lower,No,male,42,0,0,7.65
4,Lower,No,female,39,1,5,31.275,S,Lower,No,female,39,1,5,31.275
7,Upper,Yes,female,49,0,0,25.9292,S,Upper,Yes,female,49,0,0,25.9292
8,Middle,No,male,29,0,0,10.5,S,Middle,No,male,29,0,0,10.5
9,Upper,Yes,male,37,1,1,52.5542,S,Upper,Yes,male,37,1,1,52.5542
10,Middle,Yes,female,20,0,0,36.75,S,Middle,Yes,female,20,0,0,36.75
11,Upper,No,male,54,0,1,77.2875,S,Upper,No,male,54,0,1,77.2875
13,Lower,No,male,2,4,1,39.6875,S,Lower,No,male,2,4,1,39.6875
14,Lower,No,male,22.5,0,0,7.225,C,Lower,No,male,22.5,0,0,7.225
15,Lower,No,male,22,0,0,7.5208,S,Lower,No,male,22,0,0,7.5208
17,Middle,No,male,60,1,1,39,S,Middle,No,male,60,1,1,39
18,Lower,Yes,female,26,1,1,22.025,S,Lower,Yes,female,26,1,1,22.025
19,Lower,Yes,female,15,0,0,8.0292,Q,Lower,Yes,female,15,0,0,8.0292
22,Upper,No,male,27,0,2,211.5,C,Upper,No,male,27,0,2,211.5
24,Lower,No,female,31,0,0,7.8542,S,Lower,No,female,31,0,0,7.8542
25,Upper,Yes,female,60,1,4,263,S,Upper,Yes,female,60,1,4,263
27,Upper,Yes,female,19,1,0,91.0792,C,Upper,Yes,female,19,1,0,91.0792
28,Lower,No,male,70.5,0,0,7.75,Q,Lower,No,male,70.5,0,0,7.75
29,Lower,No,female,18,1,0,17.8,S,Lower,No,female,18,1,0,17.8
30,Lower,Yes,female,1,1,1,16.7,S,Lower,Yes,female,1,1,1,16.7
31,Lower,No,male,14,5,2,46.9,S,Lower,No,male,14,5,2,46.9
32,Lower,Yes,female,16,1,1,8.5167,C,Lower,Yes,female,16,1,1,8.5167
35,Upper,Yes,female,23,1,0,82.2667,S,Upper,Yes,female,23,1,0,82.2667
36,Lower,Yes,male,20,0,0,7.925,S,Lower,Yes,male,20,0,0,7.925
37,Middle,Yes,male,2,1,1,26,S,Middle,Yes,male,2,1,1,26
39,Middle,Yes,male,8,0,2,32.5,S,Middle,Yes,male,8,0,2,32.5
41,Upper,Yes,male,24,1,0,82.2667,S,Upper,Yes,male,24,1,0,82.2667
42,Lower,No,male,37,2,0,7.925,S,Lower,No,male,37,2,0,7.925
43,Upper,Yes,female,22,0,1,59.4,C,Upper,Yes,female,22,0,1,59.4
44,Middle,No,male,59,0,0,13.5,S,Middle,No,male,59,0,0,13.5
45,Upper,No,male,28,0,0,47.1,S,Upper,No,male,28,0,0,47.1
46,Middle,No,female,29,1,0,26,S,Middle,No,female,29,1,0,26
47,Upper,No,male,24,0,0,79.2,C,Upper,No,male,24,0,0,79.2
48,Lower,No,male,13,0,2,20.25,S,Lower,No,male,13,0,2,20.25
49,Lower,Yes,male,21,0,0,7.775,S,Lower,Yes,male,21,0,0,7.775
50,Upper,Yes,male,60,1,1,79.2,C,Upper,Yes,male,60,1,1,79.2
51,Middle,No,male,28,0,0,13.5,S,Middle,No,male,28,0,0,13.5
52,Upper,Yes,female,24,0,0,69.3,C,Upper,Yes,female,24,0,0,69.3
53,Lower,No,female,22,0,0,39.6875,S,Lower,No,female,22,0,0,39.6875
